English,Hindi
Login,लॉगिन
Submit,सबमिट
Save,सेव
Delete,डिलीट
Password,पासवर्ड
Logout,लॉगआउट
Profile,प्रोफ़ाइल
Settings,सेटिंग्स
Cancel,रद्द करें
Home,होम
Dashboard,डैशबोर्ड
User,उपयोगकर्ता
Account,खाता
Search,खोज
Update,अपडेट
Upload,अपलोड
Download,डाउनलोड
Error,त्रुटि
Success,सफल
Retry,पुनः प्रयास करें
Next,अगला
Previous,पिछला
Confirm,पुष्टि करें
Language,भाषा
Notification,सूचना
